symbol,hgnc_id,entrez_id
ALDH7A1P3,880,543
ALDH7A1P4,881,544
ALDH8A1,15471,64577
ALDH9A1,412,223
ALDH16A1,28114,126133
ALDH18A1,9722,5832
ALDOA,414,226
ALDOAP1,415,391538
ALDOAP2,416,228
ALDOB,417,229
ALDOC,418,230
ALG1,18294,56052
ALG1L,33721,200810
ALG1L2,37258,644974
ALG1L3P,44372,100132066
ALG1L5P,44374,647415
ALG1L6P,44375,339879
ALG1L7P,44376,728263
ALG1L8P,44377,645015
ALG1L9P,44378,285407
ALG1L10P,44379,106479037
ALG1L11P,44380,106480789
ALG1L12P,44381,100421097
ALG1L13P,44382,106479038
ALG1L14P,44383,100996649
ALG1L15P,44384,730086
ALG2,23159,85365
ALG3,23056,10195
ALG3P1,45159,442131
ALG5,20266,29880
ALG6,23157,29929
ALG8,23161,79053
ALG9,15672,79796
ALG9-IT1,41409,100874303
ALG10,23162,84920
ALG10B,31088,144245
ALG11,32456,440138
ALG12,19358,79087
ALG13,30881,79868
ALG13-AS1,41277,106478971
ALG14,28287,199857
ALG14-AS1,41192,101928098
ALK,427,238
ALKAL1,33775,389658
ALKAL2,27683,285016
ALKBH1,17911,8846
ALKBH2,32487,121642
ALKBH3,30141,221120
ALKBH3-AS1,48670,100507300
ALKBH4,21900,54784
ALKBH5,25996,54890
ALKBH6,28243,84964
ALKBH7,21306,84266
ALKBH8,25189,91801
ALLC,17377,55821
ALMS1,428,7840
ALMS1-IT1,41305,100874291
ALMS1P1,29586,200420
ALOX5,435,240
ALOX5AP,436,241
ALOX12,429,239
ALOX12-AS1,51342,100506713
ALOX12B,430,242
ALOX12P1,431,243
ALOX12P2,432,245
ALOX15,433,246
ALOX15B,434,247
ALOX15P1,13742,100652883
ALOX15P2,39027,642959
ALOXE3,13743,59344
ALOXE3P1,44238,100420216
ALPG,441,251
ALPI,437,248
ALPK1,20917,80216
ALPK2,20565,115701
ALPK3,17574,57538
ALPL,438,249
ALPP,439,250
ALPPP,14016,260330
ALS2,443,57679
ALS2CL,20605,259173
ALX1,1494,8092
ALX3,449,257
ALX4,450,60529
ALYREF,19071,10189
AMACR,451,23600
AMBN,452,258
AMBP,453,259
AMBRA1,25990,55626
AMD1,457,262
AMD1P1,44898,100133024
AMD1P2,460,263
AMD1P3,51608,728931
AMD1P4,51609,100129761
AMDHD1,28577,144193
AMDHD2,24262,51005
AMELX,461,265
AMELY,462,266
AMER1,26837,139285
AMER2,26360,219287
AMER3,26771,205147
AMFR,463,267
AMH,464,268
AMHR2,465,269
AMIGO1,20824,57463
AMIGO2,24073,347902
AMIGO3,24075,386724
AMLCR2,466,9163
AMMECR1,467,9949
AMMECR1-IT1,41306,100874352
AMMECR1L,28658,83607
AMMECR1LP1,39809,100420921
AMN,14604,81693
AMN1,27281,196394
AMOT,17810,154796
AMOTL1,17811,154810
AMOTL2,17812,51421
AMPD1,468,270
AMPD2,469,271
AMPD3,470,272
AMPH,471,273
AMT,473,275
AMTN,33188,401138
AMY1A,474,276
AMY1B,475,277
AMY1C,476,278
AMY2A,477,279
AMY2B,478,280
AMYP1,479,281
AMZ1,22231,155185
AMZ2,28041,51321
AMZ2P1,26491,201283
AMZ2P2,38072,100421018
AMZ2P3,54911,100128929
ANAPC1,19988,64682
ANAPC1P1,44150,100286979
ANAPC1P2,54708,285074
ANAPC1P3,54709,100420889
ANAPC1P4,54710,730268
ANAPC1P5,54711,100420890
ANAPC1P6,54712,402096
ANAPC2,19989,29882
ANAPC4,19990,29945
ANAPC5,15713,51433
ANAPC7,17380,51434
ANAPC10,24077,10393
ANAPC10P1,33976,729198
ANAPC11,14452,51529
ANAPC13,24540,25847
ANAPC15,24531,25906
ANAPC15P1,54888,100128808
ANAPC15P2,54889,117751731
ANAPC16,26976,119504
ANCR,482,282
ANG,483,283
ANGEL1,19961,23357
ANGEL2,30534,90806
ANGPT1,484,284
ANGPT2,485,285
ANGPT4,487,51378
ANGPTL1,489,9068
ANGPTL2,490,23452
ANGPTL3,491,27329
ANGPTL4,16039,51129
ANGPTL5,19705,253935
ANGPTL6,23140,83854
ANGPTL7,24078,10218
ANGPTL8,24933,55908
ANHX,40024,647589
ANK1,492,286
ANK2,493,287
ANK2-AS1,40076,105377373
ANK3,494,288
ANK3-DT,54102,105378320
ANKAR,26350,150709
ANKDD1A,28002,348094
ANKDD1B,32525,728780
ANKEF1,15803,63926
ANKFN1,26766,162282
ANKFY1,20763,51479
ANKH,15492,56172
ANKH-DT,55234,118597842
ANKHD1,24714,54882
ANKHD1-DT,55564,121232368
ANKHD1-EIF4EBP3,33530,404734
ANKIB1,22215,54467
ANKK1,21027,255239
ANKLE1,26812,126549
ANKLE2,29101,23141
ANKMY1,20987,51281
ANKMY2,25370,57037
ANKRA2,13208,57763
ANKRD1,15819,27063
ANKRD2,495,26287
ANKRD6,17280,22881
ANKRD7,18588,56311
ANKRD9,20096,122416
ANKRD10,20265,55608
ANKRD10-IT1,39891,100505494
ANKRD11,21316,29123
ANKRD11P1,54737,100287912
ANKRD11P2,54738,100419906
ANKRD12,29135,23253
ANKRD13A,21268,88455
ANKRD13B,26363,124930
ANKRD13C,25374,81573
ANKRD13D,27880,338692
ANKRD16,23471,54522
ANKRD17,23575,26057
ANKRD17-DT,55556,102724832
ANKRD18A,23643,253650
ANKRD18B,23644,441459
ANKRD18CP,43601,101926917
ANKRD18DP,28016,348840
ANKRD18EP,43609,100131031
ANKRD19P,22567,138649
ANKRD20A1,23665,84210
ANKRD20A2P,31979,441430
